Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Label
1	Spectrogram 1	1	0	0.672	1500	6500	BTF
2	Spectrogram 1	1	0.334731707	1.006731707	1500	6500	BTF
3	Spectrogram 1	1	1.338796748	2.010796748	1500	6500	BTF
4	Spectrogram 1	1	2.725333333	3.397333333	1500	6500	BTF
5	Spectrogram 1	1	5.708715765	6.380715765	1500	6500	BTF
6	Spectrogram 1	1	11.984	12.656	1500	6500	BTF
7	Spectrogram 1	1	13.28533333	13.95733333	1500	6500	BTF
8	Spectrogram 1	1	15.399773312	16.071773312	1500	6500	BTF
9	Spectrogram 1	1	15.794082255	16.466082255	1500	6500	BTF
10	Spectrogram 1	1	19.745301262	20.417301262	1500	6500	BTF
11	Spectrogram 1	1	22.97066667	23.64266667	1500	6500	BTF
12	Spectrogram 1	1	24.733106775	25.405106775	1500	6500	BTF
13	Spectrogram 1	1	27.598960434	28.270960434	1500	6500	BTF
14	Spectrogram 1	1	89.55100439	90.22300439	1500	6500	BTF
15	Spectrogram 1	1	89.794906829	90.466906829	1500	6500	BTF
16	Spectrogram 1	1	90.78933333	91.46133333	1500	6500	BTF
17	Spectrogram 1	1	92.396532845	93.068532845	1500	6500	BTF
18	Spectrogram 1	1	95.52533333	96.19733333	1500	6500	BTF
19	Spectrogram 1	1	99.721736733	100.393736733	1500	6500	BTF
20	Spectrogram 1	1	102.5013333	103.1733333	1500	6500	BTF
21	Spectrogram 1	1	102.933119165	103.605119165	1500	6500	BTF
22	Spectrogram 1	1	107.152	107.824	1500	6500	BTF
23	Spectrogram 1	1	109.7973333	110.4693333	1500	6500	BTF
24	Spectrogram 1	1	152.909827171	153.581827171	1500	6500	BTF
25	Spectrogram 1	1	176.0373333	176.7093333	1500	6500	BTF
26	Spectrogram 1	1	177.1893333	177.8613333	1500	6500	BTF
27	Spectrogram 1	1	178.3413333	179.0133333	1500	6500	BTF
28	Spectrogram 1	1	179.408	180.08	1500	6500	BTF
29	Spectrogram 1	1	180.6666667	181.3386667	1500	6500	BTF
30	Spectrogram 1	1	181.7973333	182.4693333	1500	6500	BTF
31	Spectrogram 1	1	183.2906667	183.9626667	1500	6500	BTF
32	Spectrogram 1	1	186.174872725	186.846872725	1500	6500	BTF
33	Spectrogram 1	1	215.6106667	216.2826667	1500	6500	BTF
34	Spectrogram 1	1	278.584583661	279.256583661	1500	6500	BTF
35	Spectrogram 1	1	278.8213333	279.4933333	1500	6500	BTF
36	Spectrogram 1	1	279.824	280.496	1500	6500	BTF
37	Spectrogram 1	1	280.336	281.008	1500	6500	BTF
38	Spectrogram 1	1	281.4453333	282.1173333	1500	6500	BTF
39	Spectrogram 1	1	283.4933333	284.1653333	1500	6500	BTF
40	Spectrogram 1	1	285.6266667	286.2986667	1500	6500	BTF
41	Spectrogram 1	1	285.8613333	286.5333333	1500	6500	BTF
42	Spectrogram 1	1	286.795966411	287.467966411	1500	6500	BTF
43	Spectrogram 1	1	287.210600557	287.882600557	1500	6500	BTF
44	Spectrogram 1	1	289.300031452	289.972031452	1500	6500	BTF
45	Spectrogram 1	1	291.328487054	292.000487054	1500	6500	BTF
46	Spectrogram 1	1	291.8133333	292.4853333	1500	6500	BTF
47	Spectrogram 1	1	301.995154675	302.667154675	1500	6500	BTF
48	Spectrogram 1	1	306.7893333	307.4613333	1500	6500	BTF
49	Spectrogram 1	1	308.312228163	308.984228163	1500	6500	BTF
50	Spectrogram 1	1	308.613041171	309.285041171	1500	6500	BTF
51	Spectrogram 1	1	309.456	310.128	1500	6500	BTF
52	Spectrogram 1	1	310.137431733	310.809431733	1500	6500	BTF
53	Spectrogram 1	1	311.069463415	311.741463415	1500	6500	BTF
54	Spectrogram 1	1	321.0186667	321.6906667	1500	6500	BTF
55	Spectrogram 1	1	374.849868174	375.521868174	1500	6500	BTF
56	Spectrogram 1	1	516.68419258	517.35619258	1500	6500	BTF
57	Spectrogram 1	1	831.2693333	831.9413333	1500	6500	BTF
58	Spectrogram 1	1	832.6773333	833.3493333	1500	6500	BTF
59	Spectrogram 1	1	834.5333333	835.2053333	1500	6500	BTF
60	Spectrogram 1	1	840.289475097	840.961475097	1500	6500	BTF
61	Spectrogram 1	1	840.500857211	841.172857211	1500	6500	BTF
62	Spectrogram 1	1	842.128	842.8	1500	6500	BTF
63	Spectrogram 1	1	843.2373333	843.9093333	1500	6500	BTF
64	Spectrogram 1	1	844.438634146	845.110634146	1500	6500	BTF
65	Spectrogram 1	1	845.6693333	846.3413333	1500	6500	BTF
66	Spectrogram 1	1	846.224	846.896	1500	6500	BTF
67	Spectrogram 1	1	847.331317073	848.003317073	1500	6500	BTF
68	Spectrogram 1	1	851.594352864	852.266352864	1500	6500	BTF
69	Spectrogram 1	1	852.098417904	852.770417904	1500	6500	BTF
70	Spectrogram 1	1	853.074027661	853.746027661	1500	6500	BTF
71	Spectrogram 1	1	854.456141482	855.128141482	1500	6500	BTF
72	Spectrogram 1	1	857.517117409	858.189117409	1500	6500	BTF
73	Spectrogram 1	1	860.3253333	860.9973333	1500	6500	BTF
74	Spectrogram 1	1	861.52	862.192	1500	6500	BTF
75	Spectrogram 1	1	862.082158378	862.754158378	1500	6500	BTF
76	Spectrogram 1	1	862.864	863.536	1500	6500	BTF
77	Spectrogram 1	1	864.195979834	864.867979834	1500	6500	BTF
78	Spectrogram 1	1	870.972403234	871.644403234	1500	6500	BTF
79	Spectrogram 1	1	877.8186667	878.4906667	1500	6500	BTF
80	Spectrogram 1	1	879.2906667	879.9626667	1500	6500	BTF
81	Spectrogram 1	1	879.91142826	880.58342826	1500	6500	BTF
82	Spectrogram 1	1	882.79760744	883.46960744	1500	6500	BTF
83	Spectrogram 1	1	898.565386578	899.237386578	1500	6500	BTF
84	Spectrogram 1	1	900.833679261	901.505679261	1500	6500	BTF
85	Spectrogram 1	1	903.107252066	903.779252066	1500	6500	BTF
86	Spectrogram 1	1	923.258604705	923.930604705	1500	6500	BTF
87	Spectrogram 1	1	927.047222591	927.719222591	1500	6500	BTF
88	Spectrogram 1	1	962.1706667	962.8426667	1500	6500	BTF
89	Spectrogram 1	1	965.1146667	965.7866667	1500	6500	BTF
90	Spectrogram 1	1	965.7546667	966.4266667	1500	6500	BTF
91	Spectrogram 1	1	967.52784996	968.19984996	1500	6500	BTF
92	Spectrogram 1	1	979.547743169	980.219743169	1500	6500	BTF
93	Spectrogram 1	1	980.7946667	981.4666667	1500	6500	BTF
94	Spectrogram 1	1	984.72	985.392	1500	6500	BTF
95	Spectrogram 1	1	985.36	986.032	1500	6500	BTF
96	Spectrogram 1	1	1049.765333	1050.437333	1500	6500	BTF
97	Spectrogram 1	1	1051.12105792	1051.79305792	1500	6500	BTF
98	Spectrogram 1	1	1053.990976937	1054.662976937	1500	6500	BTF
99	Spectrogram 1	1	1056.369025718	1057.041025718	1500	6500	BTF
100	Spectrogram 1	1	1058.096668312	1058.768668312	1500	6500	BTF
101	Spectrogram 1	1	1061.068213028	1061.740213028	1500	6500	BTF
102	Spectrogram 1	1	1232.434694294	1233.106694294	1500	6500	BTF
103	Spectrogram 1	1	1454.525034979	1455.197034979	1500	6500	BTF
104	Spectrogram 1	1	1456.142921158	1456.814921158	1500	6500	BTF
105	Spectrogram 1	1	1461.329912841	1462.001912841	1500	6500	BTF
106	Spectrogram 1	1	1476.223046122	1476.895046122	1500	6500	BTF
