Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	917.359199307	918.031199307	1500	6500	0	0	-90.63	NA
2	Spectrogram 1	1	918.565846706	919.237846706	1500	6500	0	0	-83.98	NA
3	Spectrogram 1	1	919.82307214	920.49507214	1500	6500	0	0	-76.19	NA
4	Spectrogram 1	1	1054.855607787	1055.527607787	1500	6500	0	0	-77.56	NA
5	Spectrogram 1	1	1056.083931486	1056.755931486	1500	6500	0	0	-82.28	NA
6	Spectrogram 1	1	1101.979234309	1102.651234309	1500	6500	0	0	-89.11	NA
7	Spectrogram 1	1	1097.340505986	1098.012505986	1500	6500	0	0	-87.39	NA
8	Spectrogram 1	1	1098.236459743	1098.908459743	1500	6500	0	0	-85.08	NA
9	Spectrogram 1	1	1099.406979974	1100.078979974	1500	6500	0	0	-81.42	NA
10	Spectrogram 1	1	1103.352066679	1104.024066679	1500	6500	0	0	-78.29	NA
11	Spectrogram 1	1	1155.092716809	1155.764716809	1500	6500	0	0	-95.55	NA
12	Spectrogram 1	1	1159.651965364	1160.323965364	1500	6500	0	0	-81.56	NA
13	Spectrogram 1	1	1161.068150335	1161.740150335	1500	6500	0	0	-81.43	NA
14	Spectrogram 1	1	1162.708323564	1163.380323564	1500	6500	0	0	-79.19	NA
15	Spectrogram 1	1	1172.520462111	1173.192462111	1500	6500	0	0	-87.32	NA
16	Spectrogram 1	1	1175.229999683	1175.901999683	1500	6500	0	0	-71.56	NA
17	Spectrogram 1	1	1176.34994188	1177.02194188	1500	6500	0	0	-80.18	NA
18	Spectrogram 1	1	1177.542138411	1178.214138411	1500	6500	0	0	-83.36	NA
