Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Spectrogram 1	1	326.536831606	327.208831606	1800	4000	NA
2	Spectrogram 1	1	329.372856451	330.044856451	1800	4000	NA
3	Spectrogram 1	1	341.467803911	342.139803911	1800	4000	NA
4	Spectrogram 1	1	350.463187656	351.135187656	1800	4000	NA
5	Spectrogram 1	1	347.936479582	348.608479582	1800	4000	NA
6	Spectrogram 1	1	843.214496317	843.886496317	1800	4000	NA
7	Spectrogram 1	1	839.382014696	840.054014696	1800	4000	NA
8	Spectrogram 1	1	845.818019798	846.490019798	1800	4000	NA
9	Spectrogram 1	1	851.408644804	852.080644804	1800	4000	NA
10	Spectrogram 1	1	868.64253419	869.31453419	1800	4000	NA
