Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Label
1	Spectrogram 1	1	1059.219930704	1059.891930704	1500	6500	DBF
2	Spectrogram 1	1	1061.0394429	1061.7114429	1500	6500	DBF
3	Spectrogram 1	1	1062.254077046	1062.926077046	1500	6500	DBF
4	Spectrogram 1	1	1063.668711192	1064.340711192	1500	6500	DBF
5	Spectrogram 1	1	1055.849195927	1056.521195927	1500	6500	DBF
6	Spectrogram 1	1	1354.995496816	1355.667496816	1500	6500	DBF
7	Spectrogram 1	1	1356.527204133	1357.199204133	1500	6500	DBF
8	Spectrogram 1	1	1358.995496816	1359.667496816	1500	6500	DBF
9	Spectrogram 1	1	1361.097935556	1361.769935556	1500	6500	DBF
10	Spectrogram 1	1	1913.771050141	1914.443050141	1500	6500	DBF
